target,experiment,algorithm,split,threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,positive_rate,predicted_positive_rate,n_rows,n_positive,top_10_precision,top_10_recall,top_20pct_precision,top_20pct_recall,forecast_window_weeks,forecast_window_label
y_next_violence_against_civilians_any,model2_plus_lagged_acled,catboost,test,0.3,0.9406474820143884,0.7934782608695652,0.477124183006536,0.5959183673469388,0.6630428380836607,0.9114670290558468,0.0917266187050359,0.0551558752997601,1668,153,0.6749999999999999,0.5331293706293706,0.375,0.8241841491841492,2,next_2_weeks
y_next_violence_against_civilians_any,model2_plus_lagged_acled,gru,test,0.9,0.9418465227817746,0.8181818181818182,0.4705882352941176,0.5975103734439834,0.575533676739026,0.8796393364826678,0.091726616024971,0.052757793764988,1668,153,0.6749999999999999,0.5322483072483073,0.3273809523809524,0.7205142080142081,2,next_2_weeks
y_next_air_drone_any,naive_baseline,naive,test,0.5,0.8968824940047961,0.8634361233480177,0.881559220389805,0.8724035608308606,0.8085321860668246,0.8943260637413561,0.3998800959232614,0.408273381294964,1668,667,0.8500000000000001,0.1530474103913662,0.8601190476190474,0.4356718870603941,2,next_2_weeks
y_next_air_drone_any,model1_non_acled_only,linear,test,0.5,0.7464028776978417,0.7,0.6401799100449775,0.6687548942834769,0.7910448011583904,0.8278827619157454,0.3998800959232614,0.3657074340527578,1668,667,1.0,0.1816049286839774,0.8363095238095238,0.4232645211947431,2,next_2_weeks
y_next_air_drone_any,model1_non_acled_only,lightgbm,test,0.55,0.8351318944844125,0.8356164383561644,0.7316341829085458,0.78017585931255,0.8977051290454927,0.9098502696703596,0.3998800959232614,0.3501199040767386,1668,667,1.0,0.1816049286839774,0.9910714285714284,0.5034368202581568,2,next_2_weeks
y_next_air_drone_any,model1_non_acled_only,catboost,test,0.4,0.8459232613908872,0.851027397260274,0.7451274362818591,0.7945643485211831,0.9019645028915844,0.9171473204456712,0.3998800959232614,0.3501199040767386,1668,667,1.0,0.1816049286839774,0.9940476190476192,0.5050393843607209,2,next_2_weeks
y_next_air_drone_any,model1_non_acled_only,gru,test,0.6,0.8321342925659473,0.7972350230414746,0.7781109445277361,0.787556904400607,0.8977923269075837,0.9081832710018616,0.3998800814151764,0.3902877697841727,1668,667,0.9916666666666668,0.1800023645814134,0.9940476190476192,0.5050393843607209,2,next_2_weeks
y_next_air_drone_any,model2_plus_lagged_acled,linear,test,0.5,0.8201438848920863,0.7640287769784173,0.7961019490254873,0.7797356828193832,0.8961381477244786,0.9048447804069992,0.3998800959232614,0.4166666666666667,1668,667,1.0,0.1816049286839774,0.9970238095238094,0.506641948463285,2,next_2_weeks
y_next_air_drone_any,model2_plus_lagged_acled,lightgbm,test,0.7,0.8363309352517986,0.8621323529411765,0.7031484257871065,0.7745664739884393,0.9058294017605796,0.9166515643277262,0.3998800959232614,0.3261390887290168,1668,667,1.0,0.1816049286839774,0.9970238095238094,0.506641948463285,2,next_2_weeks
y_next_air_drone_any,model2_plus_lagged_acled,catboost,test,0.5,0.8459232613908872,0.847457627118644,0.7496251874062968,0.7955449482895783,0.9100805481655,0.9202626458998272,0.3998800959232614,0.3537170263788969,1668,667,1.0,0.1816049286839774,0.9970238095238094,0.506641948463285,2,next_2_weeks
