raion_id,raion_name,oblast_name,week_start,acled_event_count,fatalities_sum,events_with_fatalities,violence_against_civilians_count,explosions_remote_count,battles_count,strategic_developments_count,protests_riots_count,civilian_targeting_count,air_drone_strike_count,precise_geo_event_count,any_event,high_intensity_week
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-01-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-01-29,4.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-02-12,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-02-19,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-03-04,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-03-18,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-04-08,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-04-15,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-04-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-04-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-05-13,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-05-20,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-06-10,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-06-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-06-24,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-07-01,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-07-08,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-07-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-07-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-07-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-08-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-08-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-08-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-09-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-09-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-09-16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-09-23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-09-30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-10-14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-10-21,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-10-28,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-11-04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-11-11,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-11-18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-11-25,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-12-02,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-12-09,8.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,1.0,2.0,6.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-12-16,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-12-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-12-30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-01-06,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-01-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-01-20,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-02-03,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-02-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-02-24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-03-03,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-03-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-12-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2022-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-01-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
